Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Keldon Johnson,25.0,SF,61.0,23.6,0.487,0.329,0.547,0.761,1.4,3.2,4.5,1.5,0.6,0.2,1.0,1.5,12.5,SAS,19000000,17500000,17500000,0,0,0,54000000,3
D'Angelo Russell,28.0,PG,51.0,25.6,0.401,0.32,0.489,0.848,0.3,2.5,2.8,5.1,1.0,0.4,1.9,2.0,12.8,BKN,18692307,0,0,0,0,0,18692307,1
Collin Sexton,26.0,SG,51.0,28.2,0.473,0.402,0.54,0.881,1.1,1.8,2.9,4.3,0.7,0.1,2.6,2.2,18.2,UTA,18350000,19175000,0,0,0,0,37525000,2
Josh Hart,29.0,SG,62.0,37.9,0.539,0.337,0.594,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,2.6,14.5,NYK,18144000,19472240,20923760,22375280,0,0,58540000,4
Jusuf Nurkić,30.0,C,35.0,21.8,0.455,0.269,0.502,0.681,1.9,6.8,8.7,2.2,0.9,0.7,2.0,2.8,8.1,CHO,18125000,19375000,0,0,0,0,37500000,2
Patrick Williams,23.0,PF,47.0,25.9,0.377,0.349,0.469,0.746,0.7,3.2,4.0,2.0,0.7,0.6,1.3,1.3,9.0,CHI,18000000,18000000,18000000,18000000,18000000,0,72000000,5
Harrison Barnes,32.0,PF,64.0,27.5,0.506,0.432,0.614,0.778,1.4,2.6,3.9,1.7,0.4,0.2,0.6,0.9,11.8,SAS,18000000,19000000,0,0,0,0,37000000,2
Malik Monk,26.0,SG,54.0,32.4,0.437,0.321,0.51,0.861,0.4,3.4,3.8,5.9,1.0,0.6,2.4,2.6,17.5,SAC,17405203,18797619,20190035,21582451,0,0,56392857,4
Bogdan Bogdanović,32.0,SG,38.0,25.7,0.399,0.319,0.497,0.865,0.5,2.5,3.0,2.4,0.8,0.2,1.6,2.4,10.9,LAC,17260000,16020000,16020000,0,0,0,33280000,3
Rui Hachimura,26.0,PF,50.0,32.1,0.506,0.41,0.59,0.765,1.5,3.8,5.2,1.5,0.8,0.5,0.9,1.8,13.3,LAL,17000000,18259259,0,0,0,0,35259259,2
Kevin Huerter,26.0,SG,55.0,22.1,0.4,0.315,0.505,0.721,0.5,2.4,2.9,1.8,0.9,0.3,0.9,1.7,8.7,CHI,16830357,17991071,0,0,0,0,34821428,2
Zach Collins,27.0,PF,48.0,15.1,0.5,0.317,0.558,0.882,1.5,2.8,4.3,1.7,0.5,0.5,0.8,2.1,6.5,CHI,16741200,18080496,0,0,0,0,34821696,2
