Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Josh Giddey,22.0,PG,60.0,29.7,0.462,0.376,0.53,0.789,1.7,6.0,7.7,6.7,1.1,0.6,2.8,1.7,13.8,CHI,8352367,0,0,0,0,0,8352367,1
Josh Okogie,26.0,SG,32.0,15.6,0.473,0.385,0.548,0.725,1.3,1.7,3.0,0.8,1.3,0.5,0.8,1.2,6.9,CHO,8250000,7750000,0,0,0,0,8250000,2
Ron Holland,19.0,SF,67.0,15.5,0.45,0.221,0.493,0.793,0.5,2.1,2.6,0.9,0.6,0.1,0.8,1.7,6.1,DET,8245320,8657280,9069600,11491183,0,0,16902600,4
Cody Martin,29.0,SF,39.0,24.8,0.433,0.323,0.507,0.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8,PHO,8120000,8680000,0,0,0,0,8120000,2
Jock Landale,29.0,C,34.0,10.4,0.459,0.375,0.486,0.686,1.2,1.8,3.0,0.8,0.2,0.3,0.4,1.0,3.8,HOU,8000000,8000000,8000000,0,0,0,16000000,3
Trey Lyles,29.0,PF,54.0,18.2,0.408,0.344,0.52,0.685,1.1,3.4,4.4,1.1,0.6,0.4,0.6,1.2,6.1,SAC,8000000,0,0,0,0,0,8000000,1
Jeff Green,38.0,PF,24.0,12.2,0.505,0.345,0.613,0.833,0.3,1.4,1.7,0.4,0.2,0.2,0.3,1.0,5.4,HOU,8000000,0,0,0,0,0,8000000,1
Kevon Looney,28.0,C,60.0,15.7,0.508,0.0,0.508,0.573,2.7,3.9,6.6,1.7,0.7,0.5,0.6,2.2,4.9,GSW,8000000,0,0,0,0,0,8000000,1
Kelly Oubre Jr.,29.0,SF,60.0,34.6,0.47,0.293,0.518,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,PHI,7983000,8382150,0,0,0,0,7983000,2
Jaden Ivey,22.0,SG,30.0,29.9,0.46,0.409,0.536,0.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,DET,7977240,10107163,0,0,0,0,18084403,2
KJ Martin,24.0,PF,36.0,21.2,0.583,0.326,0.626,0.767,0.8,2.3,3.1,0.9,0.4,0.6,0.6,2.4,6.6,UTA,7975000,8025000,0,0,0,0,7975000,2
Vasilije Micić,31.0,PG,37.0,20.7,0.348,0.36,0.43,0.829,0.5,1.8,2.4,3.4,0.4,0.0,2.0,1.2,7.3,PHO,7723000,8109150,0,0,0,0,7723000,2
Simone Fontecchio,29.0,SF,60.0,17.0,0.391,0.324,0.49,0.818,0.7,2.3,3.0,0.9,0.4,0.2,0.8,1.3,6.1,DET,7692308,8307692,0,0,0,0,16000000,2
Jonathan Kuminga,22.0,PF,33.0,25.8,0.464,0.342,0.51,0.64,1.3,3.6,4.9,2.2,0.9,0.5,1.5,1.9,16.8,GSW,7636307,0,0,0,0,0,7636307,1
Anthony Black,21.0,PG,63.0,23.8,0.413,0.306,0.461,0.746,0.6,2.1,2.7,3.1,1.0,0.5,1.7,2.1,8.9,ORL,7607760,7970280,10106316,0,0,0,15578040,3
Jae'Sean Tate,29.0,SF,44.0,11.0,0.452,0.294,0.492,0.674,0.9,1.2,2.1,0.8,0.5,0.1,0.4,1.6,3.4,HOU,7565217,0,0,0,0,0,7565217,1
Gary Harris,30.0,SG,33.0,15.2,0.361,0.32,0.485,0.6,0.5,0.8,1.2,0.5,0.6,0.2,0.4,0.9,3.0,ORL,7500000,7500000,0,0,0,0,7500000,2
Tidjane Salaün,19.0,PF,48.0,19.1,0.319,0.289,0.406,0.719,1.2,3.0,4.2,1.1,0.5,0.3,0.9,1.2,5.3,CHO,7488720,7863240,8237880,10445633,0,0,15351960,4
Bennedict Mathurin,22.0,SF,58.0,30.7,0.47,0.357,0.53,0.829,1.2,4.2,5.4,1.9,0.6,0.4,1.9,2.3,16.2,IND,7245720,9187573,0,0,0,0,16433293,2
Max Christie,21.0,SG,63.0,27.0,0.434,0.374,0.537,0.853,0.5,2.5,3.0,2.0,0.8,0.4,1.0,1.6,9.5,DAL,7142857,7714286,8285714,8857143,0,0,23142857,4
Franz Wagner,23.0,SF,47.0,33.7,0.468,0.304,0.513,0.854,1.0,4.6,5.6,4.7,1.4,0.4,2.2,2.6,24.6,ORL,7007092,38661750,41754690,44847630,47940570,51033510,231245242,6
Ayo Dosunmu,25.0,SG,46.0,30.3,0.492,0.328,0.561,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,CHI,7000000,7518518,0,0,0,0,14518518,2
Bilal Coulibaly,20.0,SF,59.0,33.0,0.421,0.281,0.472,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,WAS,6945240,7275600,9240012,0,0,0,14220840,3
Donovan Clingan,20.0,C,53.0,17.8,0.55,0.267,0.567,0.616,2.8,4.3,7.2,1.0,0.5,1.6,1.2,2.8,6.0,POR,6836400,7178400,7519920,9550298,0,0,14014800,4
Payton Pritchard,27.0,PG,65.0,28.0,0.471,0.417,0.626,0.857,1.3,2.4,3.7,3.4,0.8,0.2,0.9,1.5,14.1,BOS,6696429,7232143,7767857,8303571,0,0,30000000,4
Kenrich Williams,30.0,PF,53.0,14.7,0.483,0.385,0.581,0.808,0.9,2.3,3.2,1.2,0.6,0.1,0.5,1.5,5.7,OKC,6669000,7163000,7163000,0,0,0,13832000,3
Shaedon Sharpe,21.0,SG,59.0,30.5,0.449,0.318,0.517,0.8,0.9,3.2,4.1,2.6,0.7,0.2,2.0,1.7,17.5,POR,6614160,8399983,0,0,0,0,15014143,2
Jevon Carter,29.0,PG,30.0,7.6,0.402,0.357,0.531,0.8,0.1,0.9,0.9,1.0,0.3,0.1,0.3,0.4,3.7,CHI,6500000,6809524,0,0,0,0,6500000,2
Davion Mitchell,26.0,PG,58.0,26.1,0.456,0.386,0.546,0.654,0.4,1.6,2.0,4.6,0.8,0.2,1.7,2.5,6.9,MIA,6451077,0,0,0,0,0,6451077,1
Jarace Walker,21.0,PF,59.0,15.3,0.456,0.364,0.546,0.639,0.4,2.5,2.9,1.4,0.8,0.4,1.0,1.5,5.5,IND,6362520,6665520,8478542,0,0,0,13028040,3
Rob Dillingham,20.0,PG,41.0,11.9,0.445,0.357,0.508,0.533,0.3,0.9,1.2,2.3,0.4,0.0,1.2,0.9,5.1,MIN,6262920,6576120,6889320,8763216,0,0,12839040,4
Dean Wade,28.0,PF,45.0,21.6,0.407,0.347,0.549,0.52,0.9,3.7,4.6,1.4,0.8,0.4,0.4,1.9,5.5,CLE,6166667,6623456,0,0,0,0,6166667,2
John Konchar,28.0,SG,34.0,12.5,0.417,0.32,0.528,0.833,0.9,2.5,3.3,0.9,0.5,0.4,0.4,0.8,2.4,MEM,6165000,6165000,6165000,0,0,0,18495000,3
Ziaire Williams,23.0,SF,52.0,24.4,0.408,0.331,0.5,0.829,1.1,3.7,4.8,1.4,1.0,0.4,1.0,2.5,9.9,BKN,6133005,0,0,0,0,0,6133005,1
Dyson Daniels,21.0,SG,61.0,34.0,0.483,0.349,0.527,0.598,1.6,4.0,5.6,4.1,3.0,0.7,1.9,2.5,14.1,ATL,6059520,7707709,0,0,0,0,13767229,2
Precious Achiuwa,25.0,C,42.0,21.6,0.519,0.3,0.539,0.627,2.0,3.9,5.9,1.0,0.8,0.8,0.7,1.5,6.7,NYK,6000000,0,0,0,0,0,6000000,1
Malik Beasley,28.0,SG,67.0,27.4,0.44,0.421,0.591,0.649,0.6,2.2,2.7,1.7,1.0,0.1,1.0,1.6,16.3,DET,6000000,0,0,0,0,0,6000000,1
Chris Duarte,27.0,SG,17.0,4.4,0.462,0.4,0.577,0.75,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,2.1,CHI,5893768,0,0,0,0,0,5893768,1
Taylor Hendricks,21.0,PF,3.0,25.0,0.222,0.25,0.306,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,UTA,5848680,6127080,7805900,0,0,0,11975760,3
Moses Moody,22.0,SG,58.0,21.2,0.447,0.39,0.564,0.782,0.7,1.8,2.5,1.2,0.6,0.4,0.7,1.5,9.9,GSW,5803269,11574075,12500000,13425925,0,0,43303269,4
Zach Edey,22.0,C,51.0,20.9,0.577,0.364,0.601,0.692,3.5,4.4,7.8,0.9,0.6,1.2,1.3,2.6,9.2,MEM,5756880,6045000,6332760,8067937,0,0,11801880,4
Corey Kispert,25.0,SF,60.0,26.5,0.452,0.366,0.559,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.1,1.6,11.7,WAS,5705887,13975000,13975000,13050000,13050000,0,46705887,5
Jeremy Sochan,21.0,PF,44.0,25.2,0.548,0.338,0.579,0.68,2.4,4.5,6.8,2.5,0.8,0.5,1.6,2.4,11.3,SAS,5570040,7096231,0,0,0,0,12666271,2
Cason Wallace,21.0,SG,57.0,27.4,0.46,0.343,0.536,0.833,1.0,2.4,3.4,2.5,1.7,0.5,0.8,2.2,7.9,OKC,5555880,5820240,7420806,0,0,0,11376120,3
Cody Williams,20.0,SG,41.0,20.5,0.345,0.296,0.419,0.763,0.6,1.8,2.4,1.2,0.5,0.3,0.9,1.8,4.7,UTA,5469120,5742480,6015600,7669890,0,0,11211600,4
Alperen Şengün,22.0,C,62.0,31.5,0.502,0.247,0.513,0.693,3.3,7.0,10.3,4.9,1.1,0.8,2.6,2.9,19.2,HOU,5424654,33944954,35642202,37339450,39036697,39036697,151387957,6
Johnny Davis,22.0,SG,34.0,7.1,0.41,0.241,0.455,0.6,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,MEM,5291160,0,0,0,0,0,5291160,1
Jett Howard,21.0,SF,54.0,11.4,0.355,0.297,0.463,0.75,0.4,0.8,1.2,0.8,0.2,0.2,0.5,1.1,4.2,ORL,5278320,5529720,7337939,0,0,0,10808040,3
Haywood Highsmith,28.0,SF,58.0,24.3,0.473,0.394,0.589,0.75,0.8,2.3,3.2,1.4,0.9,0.6,0.7,2.2,6.5,MIA,5200000,5616000,0,0,0,0,10816000,2
Matas Buzelis,20.0,SF,64.0,16.9,0.433,0.321,0.509,0.845,0.7,2.4,3.1,0.8,0.3,0.8,0.8,1.7,7.2,CHI,5195520,5455560,5715360,7584283,0,0,10651080,4
Kris Dunn,30.0,PG,59.0,24.1,0.433,0.305,0.509,0.563,0.8,2.7,3.5,3.1,1.8,0.4,1.1,2.6,6.2,LAC,5168000,5426400,5684800,0,0,0,10594400,3
Dario Šarić,30.0,C,15.0,13.5,0.339,0.269,0.402,0.7,0.9,2.3,3.3,1.5,0.5,0.1,0.9,1.2,3.5,DEN,5168000,5426400,0,0,0,0,5168000,2
Trey Murphy III,24.0,SF,51.0,35.6,0.454,0.361,0.548,0.886,0.9,4.2,5.1,3.6,1.1,0.7,2.0,2.1,21.6,NOP,5159854,25000000,27000000,29000000,31000000,0,117159854,5
Ousmane Dieng,21.0,C,36.0,11.2,0.435,0.324,0.528,0.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.9,OKC,5027040,6670882,0,0,0,0,11697922,2
Dereck Lively II,20.0,C,32.0,24.0,0.701,0.0,0.701,0.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,DAL,5014560,5253360,7239131,0,0,0,10267920,3
Nick Richards,27.0,C,46.0,22.1,0.598,0.0,0.598,0.729,2.5,6.1,8.6,1.0,0.2,1.0,1.4,2.5,9.5,PHO,5000000,5000000,0,0,0,0,5000000,2
Andre Drummond,31.0,C,40.0,18.8,0.5,0.15,0.506,0.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3,PHI,5000000,5000000,0,0,0,0,5000000,2
Drew Eubanks,27.0,C,48.0,14.0,0.592,0.5,0.601,0.651,1.1,3.0,4.1,1.0,0.2,0.7,0.7,1.1,5.2,LAC,5000000,4750000,0,0,0,0,5000000,2
Tre Mann,23.0,PG,13.0,24.5,0.435,0.4,0.509,0.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,CHO,4908373,0,0,0,0,0,4908373,1
Jalen Williams,23.0,SG,61.0,32.6,0.478,0.362,0.532,0.791,0.9,4.6,5.5,5.3,1.7,0.7,2.2,2.4,21.3,OKC,4775760,6580997,0,0,0,0,11356757,2
Gradey Dick,21.0,SG,54.0,29.4,0.41,0.35,0.498,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,TOR,4763760,4990560,7131511,0,0,0,9754320,3
Jalen McDaniels,27.0,SF,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,SAS,4741800,0,0,0,0,0,4741800,1
Miles McBride,24.0,PG,55.0,24.3,0.411,0.371,0.518,0.817,0.7,1.7,2.5,2.7,1.0,0.3,0.7,1.5,9.2,NYK,4710144,4333333,3956523,0,0,0,13000000,3
Devin Carter,22.0,PG,22.0,9.7,0.385,0.308,0.462,0.667,0.5,1.8,2.3,1.2,0.3,0.1,0.5,0.9,4.2,SAC,4689000,4923720,5158080,7370897,0,0,9612720,4
Nicolas Batum,36.0,PF,64.0,18.0,0.406,0.401,0.576,0.833,0.6,2.1,2.8,1.1,0.7,0.5,0.4,1.4,3.8,LAC,4668000,4901400,0,0,0,0,4668000,2
Aaron Holiday,28.0,PG,49.0,12.7,0.424,0.376,0.546,0.833,0.2,1.1,1.3,1.3,0.3,0.1,0.6,1.1,5.2,HOU,4668000,4901400,0,0,0,0,4668000,2
Jalen Duren,21.0,C,64.0,25.9,0.699,0.0,0.699,0.689,3.5,6.9,10.4,2.5,0.8,1.2,1.8,3.2,11.5,DET,4536840,6483144,0,0,0,0,11019984,2
Jordan Hawkins,22.0,SG,49.0,23.3,0.379,0.338,0.477,0.831,0.5,2.2,2.7,1.1,0.6,0.4,1.0,0.8,10.9,NOP,4525680,4741320,7021895,0,0,0,9267000,3
Jalen Johnson,23.0,SF,36.0,35.7,0.5,0.312,0.541,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,ATL,4510905,30000000,30000000,30000000,30000000,30000000,154510905,6
Bub Carrington,19.0,PG,65.0,29.3,0.403,0.344,0.499,0.841,0.4,3.5,4.0,4.0,0.7,0.2,1.6,2.4,9.3,WAS,4454880,4677600,4900560,7257730,0,0,9132480,4
Isaiah Jackson,23.0,C,5.0,16.8,0.609,0.0,0.609,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,IND,4435381,0,0,0,0,0,4435381,1
Nickeil Alexander-Walker,26.0,SG,67.0,25.3,0.442,0.399,0.563,0.759,0.6,2.5,3.1,2.5,0.6,0.4,1.2,1.7,9.3,MIN,4312500,0,0,0,0,0,4312500,1
Ochai Agbaji,24.0,SG,54.0,27.0,0.505,0.399,0.6,0.667,0.9,2.8,3.7,1.5,0.8,0.5,0.8,1.9,10.0,TOR,4310280,6383525,0,0,0,0,10693805,2
Kobe Bufkin,21.0,SG,10.0,12.4,0.383,0.211,0.426,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,ATL,4299000,4503720,6904203,0,0,0,8802720,3
Quentin Grimes,24.0,SG,62.0,25.2,0.478,0.391,0.579,0.76,0.8,3.4,4.1,2.5,0.9,0.3,1.5,1.8,12.4,PHI,4296682,0,0,0,0,0,4296682,1
Kel'el Ware,20.0,C,47.0,20.5,0.537,0.325,0.58,0.729,1.6,4.9,6.5,0.9,0.6,1.1,0.9,1.6,8.4,MIA,4231800,4443360,4654920,7135992,0,0,8675160,4
Bones Hyland,24.0,PG,20.0,11.1,0.391,0.388,0.526,0.885,0.3,1.0,1.2,1.4,0.9,0.2,1.2,1.3,7.2,ATL,4158439,0,0,0,0,0,4158439,1
Mark Williams,23.0,C,32.0,25.8,0.591,0.0,0.591,0.785,3.1,6.9,10.0,2.3,0.7,1.3,1.3,2.5,15.7,CHO,4094280,6276531,0,0,0,0,10370811,2
Keyonte George,21.0,PG,53.0,31.4,0.394,0.343,0.49,0.796,0.4,3.4,3.8,5.9,0.7,0.2,2.8,1.7,16.8,UTA,4084200,4278960,6563925,0,0,0,8363160,3
Cam Thomas,23.0,SG,25.0,31.2,0.438,0.349,0.513,0.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,BKN,4041249,0,0,0,0,0,4041249,1
Jared McCain,20.0,SG,23.0,25.7,0.46,0.383,0.553,0.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,PHI,4020360,4221360,4422600,6784268,0,0,8241720,4
Jaden Springer,22.0,SG,32.0,6.5,0.388,0.346,0.48,0.704,0.2,0.8,1.0,0.6,0.5,0.1,0.3,0.7,2.1,HOU,4018363,0,0,0,0,0,4018363,1
Dwight Powell,33.0,C,42.0,9.0,0.75,0.5,0.761,0.629,0.9,1.3,2.2,0.9,0.3,0.5,0.3,1.3,2.1,DAL,4000000,4000000,0,0,0,0,4000000,2
Day'Ron Sharpe,23.0,C,44.0,17.6,0.524,0.256,0.542,0.764,2.9,3.5,6.4,1.7,0.8,0.8,1.3,2.3,8.0,BKN,3989122,0,0,0,0,0,3989122,1
Santi Aldama,24.0,PF,53.0,25.0,0.487,0.375,0.576,0.7,1.6,5.1,6.7,2.8,0.8,0.5,1.0,1.1,12.7,MEM,3960531,0,0,0,0,0,3960531,1
Amir Coffey,27.0,SG,64.0,25.6,0.476,0.413,0.576,0.908,0.5,1.9,2.3,1.1,0.6,0.1,0.7,1.8,10.2,LAC,3938271,0,0,0,0,0,3938271,1
Jalen Hood-Schifino,21.0,SG,2.0,7.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,UTA,3879840,0,0,0,0,0,3879840,1
Kevin Love,36.0,PF,22.0,11.2,0.357,0.358,0.461,0.696,1.0,3.3,4.3,1.0,0.7,0.2,0.6,0.9,5.5,MIA,3850000,4150000,0,0,0,0,8000000,2
Dalton Knecht,23.0,SF,61.0,20.4,0.467,0.365,0.58,0.761,0.5,2.5,3.0,0.9,0.4,0.1,0.5,1.3,9.2,LAL,3819120,4010160,4201080,6452860,0,0,7829280,4
Tari Eason,23.0,PF,44.0,24.8,0.48,0.347,0.539,0.753,2.2,4.1,6.3,1.3,1.8,0.9,1.1,2.5,11.8,HOU,3695160,5675766,0,0,0,0,9370926,2
Jaime Jaquez Jr.,23.0,SF,53.0,21.4,0.446,0.299,0.485,0.766,1.2,3.3,4.4,2.5,1.0,0.2,1.5,1.4,8.6,MIA,3685800,3861600,5939141,0,0,0,7547400,3
Tristan Da Silva,23.0,SF,63.0,23.0,0.418,0.332,0.502,0.864,1.0,2.4,3.4,1.6,0.5,0.3,0.8,1.3,7.5,ORL,3628440,3809520,3991200,6138466,0,0,7437960,4
Brandin Podziemski,21.0,SG,50.0,25.4,0.427,0.319,0.503,0.757,1.0,3.8,4.9,3.4,1.1,0.2,1.1,1.5,10.1,GSW,3519960,3687960,5679459,0,0,0,7207920,3
Dalen Terry,22.0,SG,59.0,12.4,0.452,0.319,0.511,0.678,0.5,0.9,1.4,1.2,0.5,0.2,0.6,1.4,3.9,CHI,3510480,5399118,0,0,0,0,8909598,2
Svi Mykhailiuk,27.0,SF,27.0,19.9,0.388,0.34,0.504,0.792,0.6,1.9,2.4,1.9,0.6,0.2,1.5,1.2,9.4,UTA,3500000,3675000,3850000,4025000,0,0,3500000,4
Ja'Kobe Walter,20.0,SG,44.0,20.0,0.405,0.312,0.476,0.746,1.0,1.9,2.9,1.3,0.7,0.2,0.9,1.8,7.8,TOR,3465000,3638160,3811800,5870172,0,0,7103160,4
Cam Whitmore,20.0,SF,43.0,16.4,0.416,0.323,0.49,0.738,0.7,2.3,3.0,0.9,0.7,0.3,0.9,1.0,9.0,HOU,3379080,3539760,5458310,0,0,0,6918840,3
Jake LaRavia,23.0,PF,60.0,20.4,0.472,0.419,0.558,0.67,1.4,2.6,4.1,2.5,0.9,0.4,1.3,1.9,6.8,SAC,3352680,5163127,0,0,0,0,3352680,2
Jaylon Tyson,22.0,SG,40.0,9.2,0.461,0.359,0.529,0.778,0.8,1.2,2.0,1.0,0.2,0.1,0.5,1.1,3.1,CLE,3326160,3492480,3658560,5641500,0,0,6818640,4
Eric Gordon,36.0,SG,39.0,19.7,0.426,0.409,0.564,0.75,0.2,1.0,1.2,1.7,0.7,0.3,0.7,0.8,6.8,PHI,3303771,3468960,0,0,0,0,3303771,2
Cory Joseph,33.0,PG,36.0,8.6,0.37,0.357,0.494,0.75,0.2,0.7,0.9,0.9,0.3,0.1,0.3,0.7,2.4,ORL,3303771,3468960,0,0,0,0,3303771,2
Russell Westbrook,36.0,PG,59.0,27.8,0.465,0.336,0.524,0.64,1.5,3.5,5.0,6.0,1.4,0.5,3.0,2.5,12.9,DEN,5631296,3468960,0,0,0,0,3303771,2
Noah Clowney,20.0,PF,40.0,22.8,0.376,0.351,0.5,0.841,1.0,2.9,3.9,0.8,0.5,0.5,1.0,2.2,9.5,BKN,3244080,3398640,5414034,0,0,0,6642720,3
Malaki Branham,21.0,SG,37.0,8.2,0.429,0.386,0.521,0.85,0.1,0.9,1.0,0.7,0.2,0.1,0.8,0.4,3.8,SAS,3217920,4962033,0,0,0,0,8179953,2
Yves Missi,20.0,C,63.0,27.0,0.543,0.0,0.543,0.636,3.5,4.5,8.0,1.3,0.6,1.3,1.2,2.1,8.8,NOP,3193200,3353040,3512760,5595827,0,0,6546240,4
Dante Exum,29.0,PG,17.0,19.8,0.484,0.447,0.57,0.742,0.2,1.5,1.8,2.9,0.7,0.2,1.1,1.8,9.5,DAL,3150000,0,0,0,0,0,3150000,1
Dariq Whitehead,20.0,SF,10.0,5.9,0.481,0.522,0.704,0.333,0.1,0.5,0.6,0.1,0.3,0.1,0.6,0.2,3.9,BKN,3114240,3262560,5366912,0,0,0,6376800,3
Christian Braun,23.0,SG,65.0,33.4,0.565,0.383,0.617,0.824,1.2,3.8,5.1,2.3,1.1,0.5,0.9,2.2,15.2,DEN,3089640,4921797,0,0,0,0,8011437,2
Johnny Juzang,23.0,SG,48.0,18.2,0.423,0.372,0.552,0.814,0.6,2.2,2.8,0.9,0.5,0.1,0.5,1.9,7.9,UTA,3087519,2840518,2708000,2789215,0,0,3087519,4
Josh Richardson,31.0,SG,8.0,18.8,0.289,0.273,0.368,1.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,UTA,3051153,0,0,0,0,0,3051153,1
Kyle Filipowski,21.0,C,56.0,19.3,0.516,0.382,0.593,0.629,1.4,4.0,5.4,1.9,0.6,0.2,1.3,2.2,8.3,UTA,3000000,3000000,3000000,3000000,0,0,6000000,4
Julian Champagnie,23.0,SF,64.0,23.2,0.416,0.357,0.545,0.906,0.8,3.0,3.8,1.3,0.8,0.4,0.9,1.3,9.5,SAS,3000000,3000000,3000000,0,0,0,3000000,3
Ajay Mitchell,22.0,SG,34.0,16.5,0.506,0.431,0.572,0.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,OKC,3000000,3000000,0,0,0,0,3000000,2
Kris Murray,24.0,SF,55.0,13.8,0.45,0.256,0.502,0.409,1.0,1.2,2.3,0.8,0.5,0.2,0.5,0.9,4.0,POR,2990040,3132000,5315004,0,0,0,6122040,3
Walker Kessler,23.0,C,50.0,30.4,0.725,0.333,0.728,0.536,4.7,7.6,12.3,1.6,0.6,2.5,1.5,2.2,11.5,UTA,2965920,4878938,0,0,0,0,7844858,2
Shake Milton,28.0,SG,48.0,14.9,0.462,0.371,0.547,0.8,0.5,1.3,1.8,1.9,0.4,0.1,0.7,1.2,5.7,LAL,2875000,3000000,3287406,0,0,0,9162406,3
Olivier-Maxence Prosper,22.0,PF,52.0,11.2,0.402,0.235,0.437,0.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9,DAL,2870400,3007080,5259383,0,0,0,5877480,3
David Roddy,23.0,PF,30.0,12.5,0.464,0.333,0.545,0.818,0.4,2.2,2.6,1.1,0.5,0.3,0.7,0.6,4.7,ATL,2967212,0,0,0,0,0,2847240,1
Torrey Craig,34.0,SF,17.0,11.2,0.478,0.42,0.634,0.75,1.1,1.3,2.4,0.5,0.2,0.4,0.1,1.4,5.4,CHI,3625162,0,0,0,0,0,2845342,1
Kyshawn George,21.0,SG,59.0,27.1,0.362,0.319,0.469,0.769,0.7,3.4,4.2,2.4,1.0,0.8,1.5,3.1,8.5,WAS,2825520,2966760,3108000,5435892,0,0,5792280,4
AJ Johnson,20.0,SG,12.0,8.2,0.371,0.286,0.429,0.75,0.1,0.9,1.0,1.5,0.2,0.0,0.4,0.5,2.8,WAS,2795294,3090480,3237120,5493394,0,0,5885774,4
Marcus Sasser,24.0,PG,48.0,13.3,0.464,0.368,0.561,0.839,0.3,0.8,1.1,2.2,0.6,0.1,0.9,1.3,5.7,DET,2755080,2886720,5198983,0,0,0,5641800,3
MarJon Beauchamp,24.0,SF,30.0,4.8,0.404,0.385,0.491,0.688,0.3,0.9,1.2,0.3,0.1,0.0,0.5,0.4,2.2,LAC,2733720,0,0,0,0,0,2733720,1
Trendon Watford,24.0,PF,29.0,18.2,0.442,0.298,0.483,0.797,0.8,2.6,3.4,2.2,0.7,0.2,1.7,2.2,8.8,BKN,2726603,0,0,0,0,0,2726603,1
Ben Sheppard,23.0,SG,50.0,20.2,0.439,0.363,0.563,0.913,0.7,2.0,2.7,1.3,0.6,0.2,0.3,2.1,6.0,IND,2663880,2790720,5031669,0,0,0,5454600,3
Blake Wesley,21.0,SG,40.0,8.3,0.468,0.231,0.5,0.667,0.2,0.5,0.6,1.8,0.4,0.1,0.8,0.5,2.8,SAS,2624280,4726328,0,0,0,0,7350608,2
Dillon Jones,23.0,SF,39.0,9.1,0.34,0.204,0.394,0.55,0.6,1.4,2.0,1.0,0.2,0.1,0.4,0.9,2.2,OKC,2622360,2753280,2884440,5200646,0,0,5375640,4
Nick Smith Jr.,20.0,SG,46.0,21.9,0.382,0.305,0.465,0.917,0.2,1.8,2.0,2.0,0.3,0.1,1.3,1.3,8.8,CHO,2587200,2710680,4890067,0,0,0,5297880,3
Brice Sensabaugh,21.0,SF,55.0,18.7,0.449,0.392,0.567,0.92,0.6,2.1,2.7,1.4,0.5,0.1,1.4,1.4,9.9,UTA,2571480,2693760,4862237,0,0,0,5265240,3
Ty Jerome,27.0,SG,60.0,19.6,0.504,0.438,0.594,0.902,0.7,1.9,2.6,3.3,1.2,0.0,1.3,1.5,11.9,CLE,2560975,0,0,0,0,0,2560975,1
Julian Strawther,22.0,SG,61.0,22.1,0.434,0.357,0.534,0.829,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.4,9.4,DEN,2552520,2674200,4826931,0,0,0,5226720,3
Terrence Shannon Jr.,24.0,SG,27.0,11.2,0.491,0.367,0.542,0.81,0.4,1.2,1.6,1.0,0.2,0.2,0.5,0.9,5.0,MIN,2546640,2674080,2801640,5054159,0,0,5220720,4
Wendell Moore Jr.,23.0,SG,27.0,12.1,0.451,0.375,0.506,0.882,0.8,1.6,2.4,1.0,0.4,0.1,0.6,0.8,3.6,DET,2537040,0,0,0,0,0,2537040,1
Kobe Brown,25.0,PF,30.0,7.3,0.468,0.19,0.5,0.8,0.6,1.2,1.8,0.6,0.1,0.1,0.3,0.6,2.2,LAC,2533920,2654880,4792059,0,0,0,5188800,3
Ryan Dunn,22.0,SF,58.0,16.9,0.43,0.304,0.511,0.444,0.9,2.1,3.0,0.8,0.4,0.6,0.4,2.1,5.7,PHO,2530800,2657760,2784240,5025553,0,0,5188560,4
