Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
299,Jaxson Hayes,24,C,40,19.2,.714,.000,.714,.734,1.4,3.2,4.6,1.1,0.6,1.0,0.8,2.3,6.4,hayesja02
300,Ajay Mitchell,22,SG,34,16.5,.506,.431,.572,.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,mitchaj01
301,Tre Jones,25,PG,42,18.4,.510,.357,.548,.817,0.7,1.7,2.4,3.8,0.8,0.2,0.7,1.1,6.3,jonestr01
302,Ben Simmons,28,PG,38,24.5,.552,,.552,.727,0.9,4.3,5.2,6.7,0.9,0.5,2.4,2.4,6.3,simmobe01
303,Gary Payton II,32,SG,53,14.3,.573,.308,.622,.730,0.9,2.1,2.9,1.3,0.7,0.3,0.6,1.7,6.3,paytoga02
304,Brandon Williams,25,PG,24,12.2,.491,.395,.569,.829,0.2,1.3,1.4,2.0,0.5,0.1,0.8,0.8,6.3,willibr03
305,Kris Dunn,30,PG,59,24.1,.433,.305,.509,.563,0.8,2.7,3.5,3.1,1.8,0.4,1.1,2.6,6.2,dunnkr01
306,Jamal Shead,22,PG,60,17.9,.418,.327,.488,.756,0.4,1.0,1.3,3.7,0.5,0.1,1.5,2.0,6.2,sheadja01
307,Dru Smith,27,SG,14,19.1,.508,.533,.639,.750,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,smithdr01
308,Simone Fontecchio,29,SF,60,17.0,.391,.324,.490,.818,0.7,2.3,3.0,0.9,0.4,0.2,0.8,1.3,6.1,fontesi01
309,Ron Holland,19,SF,67,15.5,.450,.221,.493,.793,0.5,2.1,2.6,0.9,0.6,0.1,0.8,1.7,6.1,hollaro01
310,Trey Lyles,29,PF,54,18.2,.408,.344,.520,.685,1.1,3.4,4.4,1.1,0.6,0.4,0.6,1.2,6.1,lylestr01
311,Karlo Matković,23,PF,29,17.6,.546,.342,.596,.793,1.6,3.0,4.6,1.0,0.4,1.1,0.9,2.3,6.1,matkoka01
312,Tristan Vukcevic,21,C,21,10.0,.474,.306,.552,.778,0.7,2.2,2.9,0.9,0.3,0.4,0.8,1.3,6.1,vukcetr01
313,Donovan Clingan,20,C,53,17.8,.550,.267,.567,.616,2.8,4.3,7.2,1.0,0.5,1.6,1.2,2.8,6.0,clingdo01
314,Ben Sheppard,23,SG,50,20.2,.439,.363,.563,.913,0.7,2.0,2.7,1.3,0.6,0.2,0.3,2.1,6.0,sheppbe01
315,James Wiseman,23,C,1,5.0,.500,.000,.500,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,wisemja01
316,Isaiah Wong,24,SG,20,13.3,.390,.394,.452,.735,0.7,0.9,1.6,1.4,0.6,0.0,0.9,1.1,6.0,wongis01
317,Jamison Battle,23,SF,43,13.6,.452,.416,.609,.857,0.7,1.5,2.1,0.8,0.1,0.1,0.4,1.2,5.9,battlja01
318,Bismack Biyombo,32,C,13,17.6,.692,,.692,.333,1.6,3.8,5.4,1.0,0.6,0.9,0.9,1.8,5.9,biyombi01
319,Seth Curry,34,SG,54,14.5,.465,.447,.588,.800,0.4,1.2,1.6,0.7,0.4,0.1,0.4,0.9,5.9,curryse01
320,Gabe Vincent,28,PG,56,21.0,.394,.333,.511,.688,0.2,0.9,1.2,1.5,0.7,0.2,0.6,2.1,5.9,vincega01
321,Moses Brown,25,C,13,9.2,.694,,.694,.727,0.9,2.5,3.4,0.2,0.5,0.3,0.8,1.3,5.8,brownmo01
322,Isaiah Stewart,23,C,61,19.8,.540,.279,.563,.756,1.9,3.7,5.6,1.7,0.3,1.4,1.0,2.5,5.8,stewais01
323,Robert Williams,27,C,20,17.6,.641,.333,.647,.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,williro04
