Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
433,Jaylon Tyson,22,SG,40,9.2,.461,.359,.529,.778,0.8,1.2,2.0,1.0,0.2,0.1,0.5,1.1,3.1,tysonja01
434,Taj Gibson,39,C,27,11.3,.486,.500,.493,.688,1.5,2.0,3.6,0.6,0.3,0.4,0.7,1.6,3.0,gibsota01
435,Gary Harris,30,SG,33,15.2,.361,.320,.485,.600,0.5,0.8,1.2,0.5,0.6,0.2,0.4,0.9,3.0,harriga01
436,Kylor Kelley,27,C,8,8.4,.769,,.769,.667,1.0,1.6,2.6,0.3,0.0,0.3,0.1,1.0,3.0,kelleky01
437,Maxi Kleber,33,PF,34,18.7,.385,.265,.453,.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,klebima01
438,Taze Moore,26,SG,2,10.0,.200,.250,.250,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,mooreta02
439,Craig Porter Jr.,24,PG,41,8.9,.549,.455,.632,.769,0.3,0.9,1.2,1.4,0.3,0.3,0.6,0.4,3.0,portecr01
440,Jeenathan Williams,25,SG,13,6.1,.444,.267,.500,.750,0.1,0.4,0.5,0.3,0.4,0.3,0.7,0.8,3.0,willije02
441,Jae Crowder,34,PF,7,13.1,.353,.250,.441,.833,0.9,1.6,2.4,0.6,0.4,0.0,0.6,1.4,2.9,crowdja01
442,Caleb Houstan,22,SF,43,11.3,.339,.324,.479,.929,0.3,0.7,1.0,0.4,0.2,0.1,0.1,1.0,2.9,houstca01
443,Kai Jones,24,C,29,8.3,.761,.000,.761,.750,0.6,1.3,1.9,0.3,0.2,0.5,0.4,0.9,2.8,joneska01
444,AJ Johnson,20,SG,12,8.2,.371,.286,.429,.750,0.1,0.9,1.0,1.5,0.2,0.0,0.4,0.5,2.8,johnsaj01
445,Branden Carlson,25,C,20,6.1,.442,.412,.605,1.000,0.3,1.2,1.5,0.4,0.1,0.4,0.2,0.7,2.8,carlsbr01
446,Blake Wesley,21,SG,40,8.3,.468,.231,.500,.667,0.2,0.5,0.6,1.8,0.4,0.1,0.8,0.5,2.8,weslebl01
447,Trey Jemison,25,C,31,10.9,.537,,.537,.387,1.2,1.6,2.8,0.5,0.3,0.5,0.5,2.0,2.7,jemistr01
448,Colin Castleton,24,C,14,11.6,.375,.000,.375,.857,1.1,2.1,3.2,0.7,0.2,0.4,0.4,1.4,2.6,castlco01
449,Markelle Fultz,26,PG,10,7.9,.400,.250,.417,1.000,0.2,0.5,0.7,0.9,0.5,0.1,1.0,0.5,2.6,fultzma01
450,Mason Jones,26,SG,9,4.8,.500,.125,.528,.800,0.2,0.7,0.9,1.1,0.0,0.1,0.1,0.3,2.6,jonesma05
451,Tyler Smith,20,PF,17,4.9,.472,.400,.583,.500,0.2,0.9,1.2,0.2,0.1,0.2,0.4,0.5,2.6,smithty02
452,Pat Spencer,28,PG,31,6.7,.391,.118,.402,.733,0.5,0.9,1.4,1.2,0.4,0.1,0.5,0.6,2.6,spencpa01
453,Markieff Morris,35,PF,11,6.6,.250,.273,.333,.750,0.0,0.9,0.9,0.8,0.1,0.1,0.3,0.7,2.5,morrima02
454,TyTy Washington Jr.,23,PG,11,8.6,.297,.167,.338,.750,0.4,0.7,1.1,1.1,0.3,0.0,0.3,0.3,2.5,washity02
455,Delon Wright,32,PG,30,14.1,.282,.255,.359,.550,0.5,1.1,1.6,1.7,0.8,0.3,0.5,0.6,2.4,wrighde01
456,Johnny Davis,22,SG,34,7.1,.410,.241,.455,.600,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,davisjo06
457,Cory Joseph,33,PG,36,8.6,.370,.357,.494,.750,0.2,0.7,0.9,0.9,0.3,0.1,0.3,0.7,2.4,josepco01
458,John Konchar,28,SG,34,12.5,.417,.320,.528,.833,0.9,2.5,3.3,0.9,0.5,0.4,0.4,0.8,2.4,konchjo01
459,Drew Peterson,25,PF,18,8.3,.448,.391,.603,.857,0.3,1.4,1.7,0.7,0.2,0.1,0.3,0.7,2.3,peterdr01
460,Lester Quiñones,24,SG,4,4.3,.500,.000,.500,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,quinole01
461,MarJon Beauchamp,24,SF,30,4.8,.404,.385,.491,.688,0.3,0.9,1.2,0.3,0.1,0.0,0.5,0.4,2.2,beaucma01
462,Kobe Brown,25,PF,30,7.3,.468,.190,.500,.800,0.6,1.2,1.8,0.6,0.1,0.1,0.3,0.6,2.2,brownko01
463,Dillon Jones,23,SF,39,9.1,.340,.204,.394,.550,0.6,1.4,2.0,1.0,0.2,0.1,0.4,0.9,2.2,jonesdi01
464,Christian Koloko,24,C,30,8.7,.630,.000,.630,.875,0.9,1.2,2.1,0.4,0.2,0.3,0.3,1.1,2.2,kolokch01
465,Josh Minott,22,SF,38,6.2,.434,.235,.487,.846,0.3,0.8,1.1,0.4,0.3,0.3,0.3,0.7,2.2,minotjo01
466,Rayan Rupert,20,SG,41,7.5,.390,.270,.451,.750,0.5,0.6,1.1,0.4,0.2,0.0,0.5,0.6,2.2,ruperra01
467,Hunter Tyson,24,PF,43,7.3,.380,.321,.487,.696,0.3,1.1,1.4,0.3,0.1,0.1,0.3,0.9,2.2,tysonhu01
468,Jaden Springer,22,SG,32,6.5,.388,.346,.480,.704,0.2,0.8,1.0,0.6,0.5,0.1,0.3,0.7,2.1,sprinja01
469,Patrick Baldwin Jr.,22,SF,22,4.6,.515,.524,.682,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,baldwpa01
470,Chris Duarte,27,SG,17,4.4,.462,.400,.577,.750,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,2.1,duartch01
471,E.J. Liddell,24,PF,7,4.7,.500,.375,.650,1.000,0.1,0.6,0.7,0.4,0.1,0.1,0.3,1.1,2.1,liddeej01
472,Dwight Powell,33,C,42,9.0,.750,.500,.761,.629,0.9,1.3,2.2,0.9,0.3,0.5,0.3,1.3,2.1,poweldw01
473,Reece Beekman,23,PG,28,10.7,.314,.172,.350,.545,0.2,0.6,0.8,1.2,0.7,0.1,0.6,0.7,2.0,beekmre01
474,Jamaree Bouyea,25,PG,1,5.0,1.000,,1.000,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,bouyeja01
475,Keion Brooks Jr.,24,SF,2,5.0,.500,.000,.500,.500,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.5,2.0,brookke02
476,Jalen Hood-Schifino,21,SG,2,7.0,1.000,,1.000,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,hoodsja01
477,Jack McVeigh,28,PF,7,4.0,.385,.400,.538,,0.1,0.4,0.6,0.1,0.0,0.1,0.1,0.1,2.0,mcveija01
478,Adama Sanogo,22,C,4,5.3,.571,,.571,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,sanogad01
479,Jericho Sims,26,C,51,11.9,.652,,.652,.615,1.3,2.4,3.8,0.6,0.2,0.4,0.6,1.2,1.9,simsje01
480,Pete Nance,24,PF,8,8.8,.333,.333,.467,.500,0.3,1.0,1.3,0.4,0.1,0.0,0.0,1.3,1.9,nancepe01
481,Pacome Dadiet,19,SG,14,6.8,.333,.353,.444,.667,0.0,1.0,1.0,0.4,0.2,0.1,0.1,0.4,1.9,dadiepa01
482,Ariel Hukporti,22,C,25,8.7,.677,,.677,.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,hukpoar01
483,Jordan McLaughlin,28,PG,35,6.0,.408,.414,.531,.737,0.1,0.5,0.6,0.9,0.3,0.0,0.3,0.4,1.9,mclaujo01
484,Cam Christie,19,SG,6,5.2,.333,.250,.417,.500,0.2,0.8,1.0,0.3,0.3,0.0,0.3,0.3,1.8,chrisca02
485,Anthony Gill,32,PF,42,5.6,.510,.368,.582,.613,0.2,0.7,0.8,0.2,0.1,0.0,0.1,0.5,1.8,gillan01
486,Tyler Kolek,23,PG,30,5.1,.367,.367,.480,1.000,0.1,0.4,0.5,0.7,0.2,0.0,0.3,0.4,1.8,kolekty01
487,Leonard Miller,21,SF,10,2.7,.357,.000,.357,1.000,0.3,0.8,1.1,0.0,0.2,0.1,0.2,0.2,1.8,millele01
488,Enrique Freeman,24,PF,19,7.3,.480,.167,.500,.538,0.3,0.7,1.0,0.4,0.1,0.1,0.3,0.9,1.7,freemen01
489,Johnny Furphy,20,SG,40,6.8,.365,.306,.452,1.000,0.4,0.8,1.2,0.3,0.3,0.2,0.2,0.7,1.7,furphjo01
490,Keshad Johnson,23,SF,10,5.7,.583,.250,.625,.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,johnske10
491,Baylor Scheierman,24,SG,17,7.8,.257,.174,.314,.833,0.3,1.2,1.5,0.7,0.3,0.0,0.1,0.5,1.6,scheiba01
492,Armel Traoré,22,SF,9,7.4,.316,.000,.316,.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,armeltr01
493,Jordan Walsh,20,PF,42,8.1,.375,.302,.477,.583,0.5,0.8,1.3,0.4,0.2,0.2,0.3,0.6,1.6,walshjo01
494,Tony Bradley,27,C,4,2.3,1.000,,1.000,.000,0.5,0.5,1.0,0.3,0.0,0.3,0.0,0.0,1.5,bradlto01
495,Vlatko Čančar,27,PF,6,6.8,.571,.500,.643,,0.5,1.2,1.7,0.0,0.0,0.2,0.3,0.7,1.5,cancavl01
496,Jazian Gortman,21,PG,16,3.6,.391,.364,.478,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,gortmja01
497,Quincy Olivari,23,PG,2,5.0,.200,.200,.300,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,olivaqu01
498,Matt Ryan,27,SF,19,3.6,.323,.316,.419,1.000,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,ryanma01
499,Tristan Thompson,33,C,33,7.2,.434,.000,.434,.227,0.7,2.1,2.8,0.6,0.0,0.2,0.3,0.8,1.5,thomptr01
500,Alex Ducas,24,SG,17,4.5,.364,.438,.523,,0.3,0.6,0.9,0.1,0.1,0.0,0.2,0.4,1.4,ducasal01
501,Adam Flagler,25,SG,25,4.1,.228,.174,.298,,0.1,0.2,0.4,0.0,0.2,0.1,0.0,0.4,1.4,flaglad01
502,Bronny James,20,SG,18,4.2,.258,.200,.306,.667,0.1,0.4,0.4,0.4,0.2,0.1,0.3,0.3,1.4,jamesbr02
503,Alex Len,31,C,42,7.9,.500,.167,.510,.538,0.7,1.1,1.9,0.8,0.2,0.5,0.3,1.0,1.4,lenal01
504,Jaylen Martin,21,SF,6,3.0,.300,.667,.400,,0.2,0.7,0.8,0.0,0.0,0.0,0.0,0.2,1.3,martija02
505,Isaiah Crawford,23,SF,9,4.0,.556,.250,.611,.500,0.1,0.8,0.9,0.0,0.1,0.1,0.1,0.1,1.3,crawfis01
506,JD Davison,22,PG,9,4.3,.333,.333,.444,.800,0.0,0.3,0.3,0.3,0.2,0.0,0.7,0.1,1.3,davisjd01
507,David Duke Jr.,25,SG,4,4.5,.286,.000,.286,.500,0.0,0.8,0.8,0.8,0.0,0.0,0.3,0.3,1.3,dukeda01
508,Skal Labissière,28,PF,4,3.0,.500,1.000,.625,,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.3,1.3,labissk01
509,Bryce McGowens,22,SG,10,2.3,.500,.000,.500,.833,0.1,0.0,0.1,0.1,0.1,0.0,0.3,0.2,1.3,mcgowbr01
510,Yuki Kawamura,23,PG,20,3.2,.364,.250,.455,.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.2,kawamyu01
511,Sidy Cissoko,20,SF,20,3.0,.500,.429,.583,.167,0.2,0.4,0.6,0.3,0.1,0.0,0.2,0.4,1.1,cissosi01
512,PJ Hall,22,C,16,3.1,.467,.000,.467,.750,0.3,0.8,1.1,0.2,0.0,0.1,0.1,0.4,1.1,hallpj01
513,Chris Livingston,21,SF,15,4.7,.333,.000,.333,.625,0.5,1.1,1.5,0.1,0.3,0.0,0.3,0.3,1.1,livinch01
514,Colby Jones,22,SG,25,5.3,.423,.400,.500,,0.3,0.6,0.9,0.3,0.2,0.3,0.3,0.5,1.0,jonesco02
515,Trey Alexander,21,SG,20,4.3,.269,.200,.308,.750,0.0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1.0,alexatr01
516,Yuri Collins,23,PG,2,8.0,.333,,.333,,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,colliyu01
517,Garrett Temple,38,SG,20,5.3,.240,.273,.300,1.000,0.2,0.6,0.8,1.1,0.5,0.1,0.4,0.7,1.0,templga01
518,Xavier Tillman Sr.,26,C,29,7.1,.261,.185,.315,.500,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.6,1.0,tillmxa01
519,Emoni Bates,21,SF,7,3.9,.143,.182,.214,,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.3,0.9,batesem01
520,RayJ Dennis,23,PG,8,2.9,.200,.143,.250,1.000,0.3,0.5,0.8,0.6,0.4,0.0,0.5,0.4,0.9,dennira01
521,Luke Travers,23,SG,9,6.1,.273,.000,.273,1.000,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9,travelu01
522,Maxwell Lewis,22,SF,13,3.9,.308,.500,.385,,0.2,0.5,0.8,0.2,0.1,0.0,0.2,0.2,0.8,lewisma05
523,Jalen Bridges,23,SF,5,5.0,.250,.250,.375,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.8,0.0,0.8,bridgja01
524,D.J. Carton,24,SG,4,8.3,.143,.000,.143,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,cartodj01
525,Josh Christopher,23,SG,8,3.5,.286,.000,.286,.500,0.0,0.4,0.4,0.5,0.0,0.1,0.5,0.1,0.8,chrisjo01
526,PJ Dozier,28,SG,9,3.9,.667,.667,1.000,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,doziepj01
527,Joe Ingles,37,SF,18,6.0,.300,.231,.375,,0.1,0.5,0.6,1.2,0.1,0.0,0.4,0.6,0.8,inglejo01
528,Ulrich Chomche,19,PF,7,4.6,.400,,.400,.500,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7,chomcul01
529,James Johnson,37,PF,12,3.1,.364,.000,.364,.000,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,johnsja01
530,Liam Robbins,25,C,13,4.4,.250,.000,.250,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,robbili01
531,Cui Yongxi,21,SG,5,2.0,.143,.000,.143,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,cuiyo01
532,Stanley Umude,25,SG,20,3.3,.174,.154,.217,.500,0.2,0.6,0.8,0.2,0.2,0.2,0.1,0.3,0.6,umudest01
533,Tristen Newton,23,SG,8,2.0,.125,.000,.125,1.000,0.3,0.3,0.5,0.3,0.1,0.0,0.3,0.5,0.4,newtotr01
534,Spencer Jones,23,SF,14,2.9,.182,.143,.227,,0.1,0.4,0.5,0.1,0.3,0.1,0.1,0.4,0.4,jonessp01
535,Jacob Toppin,24,SF,16,3.1,.300,.000,.300,,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,toppija01
536,Malevy Leons,25,SF,6,3.5,.000,.000,.000,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,leonsma01
537,Daishen Nix,22,PG,3,4.3,.000,.000,.000,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,nixda01
538,Jesse Edwards,24,C,2,2.5,,,,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,edwarje01
539,Harrison Ingram,22,SF,2,5.5,.000,.000,.000,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,ingraha01
540,Daniss Jenkins,23,PG,5,2.0,.000,.000,.000,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,jenkida01
541,Bobi Klintman,21,SF,6,2.8,.000,.000,.000,,0.0,0.7,0.7,0.2,0.0,0.2,0.2,0.3,0.0,klintbo01
542,Mac McClung,26,SG,1,5.0,,,,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,mccluma01
543,Jalen McDaniels,27,SF,4,1.8,,,,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,mcdanja01
544,Emanuel Miller,24,PF,1,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,milleem01
545,Justin Minaya,25,SF,7,2.7,.000,.000,.000,,0.3,0.1,0.4,0.3,0.1,0.0,0.0,0.4,0.0,minayju01
546,Riley Minix,24,SF,1,7.0,.000,.000,.000,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,minixri01
547,Miles Norris,24,PF,1,4.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,norrimi01
548,Jahlil Okafor,29,C,1,3.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,okafoja01
549,Chuma Okeke,26,PF,1,2.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,okekech01
550,Zyon Pullin,23,SG,3,1.0,.000,,.000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pullizy01
551,Cole Swider,25,SF,2,6.5,.000,.000,.000,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,swideco01
552,Anton Watson,24,SF,1,4.0,.000,,.000,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,watsoan02
553,Jahmir Young,24,PG,1,2.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,youngja05
